"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:35:01 GMT 2024","Wed Jul 17 17:35:02 GMT 2024","1068","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Wed Jul 17 17:34:58 GMT 2024","Wed Jul 17 17:34:59 GMT 2024","1300","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
